Document Number,Document Type,Publication Date,Title,Abstract,Inventor Name,Assignee,Filing Date
JP5922591B2,JP,2016-05-24,パッケージ化推進薬空気誘導可変推力ロケット・エンジン,"This invention is a packaged propellant air-induced variable thrust rocket engine that has a vast number of uses and applications for this invention. The primary purpose of the device described here is to provide a light weight, torque and vibration free thrust generator for the propulsion of aircraft. This device will facilitate the fabrication of very light weight aircraft because of the lack these forces. This device can also be used anywhere high velocity air flow and or the resulting thrust is needed. The invention uses aerodynamic principles to compress and accelerate the incoming air, prior to it being heated and accelerated by a short duration burst of thermal and kinetic energy from discrete packets of a mixture of oxidizable fuels. The heated and accelerated air then expands as it travels thru the device providing thrust.","Manson, David, Murray, Junior; Collier, Nicholas","Innovative Defense, LRC",2011-02-23
JP2001503675A,JP,2001-03-21,【発明の名称】工業的プロセスによって生じる排出ガスからNOxを低減する方法,"Gas-phase methods and systems for reducing NOx emissions and other contaminants in exhaust gases, and industrial processes using the same, are disclosed. In accordance with the present invention, hydrocarbon(s) autoignite and autothermally heat an exhaust gas from an industrial process so that NH 3 , HNCO or a combination thereof are effective for selectively reducing NOx autocatalytically. Preferably, the reduction of NOx is initiated/driven by the autoignition of hydrocarbon(s) in the exhaust gas. Within the temperature range of about 482-871°C, the introduced hydrocarbon(s) autoignite spontaneously under fuel-lean conditions of about 2-18 % O 2  in the exhaust gas. Once ignited, the reactions proceed autocatalytically, heating the exhaust gas autothermally. Under some conditions, a blue chemiluminescence may be visible.","Sadas, Bruce Sea; Sloan, Ralph Jay; Palaiscar, Vishwesh; Ramavajara, Madue",Knoxtec Incorporated,1997-10-31
JP4673926B2,JP,2011-04-20,中央本体パイロットポッド,"A pilot for a scramjet provides a flame front whose arrival at the wall of the scramjet combustor is delayed thereby reducing combustor heat load. By combining in-stream injection of fuel with an interior pilot and a lean (fuel-poor) outer annulus, the bulk of combustion is confined to the scramjet combustor center. This concept, referred to as “core-burning,” further reduces combustor heat load. One such pilot is for a two dimensional scramjet effective to propel a vehicle. This pilot includes a plurality of spaced apart struts separated by ducts and a strut pilot contained within each strut. A second such pilot is for an axisymmetric scramjet engine has, in sequence and in fluid communication, an air intake, an open bore scramjet isolator and a scramjet combustor. This centerbody pilot pod includes a pilot isolator disposed between the air intake and a pilot diffuser, the pilot diffuser disposed between the pilot isolator and a pilot with the pilot disposed between the pilot diffuser and a pilot combustor. The pilot pod is in axis symmetry around a central axis of the scramjet isolator and supported by a plurality of struts extending from an inner wall of the open bore to an outer surface of the centerbody pilot pod.","Bullman, Melvin Jay.",Aerojet General Corporation,2007-10-15
JP5604075B2,JP,2014-10-08,液体燃料式パルスデトネーションエンジンの低温始動のためのプレナム空気予熱,,ナレンドラ ディガンバー Joshi; ヴェン cut S ワール tongue ギララ; Kevin Michael Hinckley,General Electric Co.,2009-10-09
JP2016511525A,JP,2016-04-14,集積化された動力発生におけるＮＯｘの軽減,溶融炭酸塩形燃料電池（ＭＣＦＣ）を使用して、燃焼供給源からのＣＯ２を捕捉するためのシステムおよび方法が提供される。燃料電池は、低下されたアノード燃料利用を有するように作動される。任意に、アノード排出物の少なくとも一部分は、燃焼供給源の燃料として使用するためにリサイクルされる。任意に、アノード排出物の第２の部分は、アノードインプット流の一部分として使用するためにリサイクルされる。これによって、燃焼供給源排出物からＣＯ２を分離するために必要とされる燃料電池の面積の量の減少、および／または燃料電池を作動させる方法の変更が可能となる。,Paul Jay Barlowitz; Timothy Andrew Burkholtz; Frank Harshkowitz; Alessandro Faldi; Allen S. Ericsson,EXXON RESEARCH AND ENGINEERING COMPANY,2014-03-13
JP2012512916A,JP,2012-06-07,触媒接触脱酸素及び縮合酸素化炭化水素を主成分とする液体燃料組成物,"A moderate fraction of a carbohydrate derived component, and a kerosene composition comprising the moderate fraction.",Joanna Margaret Bardley; Paul George Brommel; Randy Douglas Courtlight; Richard John Price,SHELL INTERNATIONALE RESEARCH MAATSCHAPPIJ BESLOTEN VENNOOTSHAP,2009-09-04
JP6700289B2,JP,2020-05-27,ガソリンエンジンの燃料送出システム、空気取り入れシステムおよび燃焼室を清浄化させるための組成物,"A cleaning composition, which is suitable for cleaning fuel delivery systems, air-intake systems, intake valves, and combustion chambers, includes at least 3 wt. % of a polyether component, at least 5 wt. % of a polar solvent, and at least 5 wt. % a non-polar solvent. The polyether component is selected from polyethers, polyetheramines, and mixtures thereof.","Bartley, Stuart El.; Weinberg, Thomas Earl.; Nichols, Michael Dee.; Hoodie, garrett",THE LUBRIZOL CORPORATION,2016-01-15
JP2018508619A,JP,2018-03-29,ガソリンエンジンの燃料送出システム、空気取り入れシステムおよび燃焼室を清浄化させるための組成物,燃料送出システム、空気取り入れシステム、取り入れ弁および燃焼室を清浄化させるのに適している清浄化組成物は、少なくとも３ｗｔ％のポリエーテル成分、少なくとも５ｗｔ％の極性溶媒および少なくとも５ｗｔ％の非極性溶媒を含む。ポリエーテル成分は、ポリエーテル、ポリエーテルアミンおよびそれらの混合物から選択される。例示的実施形態は、清浄化組成物、および組成物で清浄化する方法に関する。組成物および方法は、特に、内燃エンジンの燃料送出システム、空気取り入れシステムおよび燃焼室における炭素質堆積物を除去するのに効果的である。,"Bartley, Stuart El.; Weinberg, Thomas Earl.; Nichols, Michael Dee.; Hoodie, garrett",THE LUBRIZOL CORPORATION,2016-01-15
JP2022550052A,JP,2022-11-30,微生物でグラフェンオキシドを還元することによって窒素および硫黄でグラフェンをドープする方法、それにより得られた窒素および硫黄でドープされたグラフェンならびにその使用,本発明は、微生物によるグラフェンオキシドの還元を通じて、窒素原子および硫黄原子でデュアルドープされたグラフェンを製造する方法に関する。加えて、本発明は、この方法によって得られる窒素原子および硫黄原子でデュアルドープされたグラフェンに関し、かつそのようにドープされたグラフェンの、例えば電子部品または水精製機器を製造するための、使用に関する。特に、方法はエコサステナブルであり、かつ経済的であり、公知の製品と比べて著しく改善された性能を有する製品を提供するという、さらなる利点を有する。,Yakimov Valentino,Bioenergy Technologies Society A Responsibility Limited,2020-09-23
JP6746660B2,JP,2020-08-26,徐放性二重壁マイクロカプセル,A method of forming dual melamine/acrylic walled microcapsules having improved physical properties and release control as well as the microcapsules formed by the process wherein the capsule wall is formed by the use of select (meth)acrylate monomers and/or oligomers and/or select self-condensing melamine resins.,"Fen, Lin Shen; Robert, Stanley, Bobnock",THE PROCTER & GAMBLE COMPANY,2018-11-13
JP2022548420A,JP,2022-11-18,燃焼器の運転効率と排出性能を最大化できる燃焼装置,燃焼器の運転効率と排出性能を最大化できる燃焼装置に係り、ガス燃料が供給されるガスノズル部と、前記ガスノズル部と連通して空間を形成し、ガス燃料を分配するガス燃料分配部と、前記ガス燃料分配部と第１貫通孔により連通し、ガス燃料が空気と予混合される空間を形成する第１混合室と、前記ガス燃料分配部と第２貫通孔により連通し、ガス燃料が空気と予混合される空間を形成する第２混合室と、前記第１混合室と第２混合室との間に備えられ、前記第１混合室で予混合されたガス燃料と空気の予混合気を乱流化する乱流生成ノズル部と、空気ノズル部と連通し、前記第１混合室と第２混合室にそれぞれ燃焼用空気を供給する旋回ノズル部と、を含み、前記旋回ノズル部は、前記第１混合室と連通し、前記第１貫通孔から噴射されたガス燃料が旋回された空気と垂直で接触して混合されるようにする第１流路と、前記第２混合室と連通し、前記第２貫通孔から噴射されたガス燃料が前記第１流路に比べて旋回度が低い空気と垂直で接触して混合されるようにする第２流路と、を含み、前記乱流生成ノズル部は、複数個のフラクタル状の格子孔が備えられ、前記第１混合室で予混合されたガス燃料と空気の予混合気の乱流流れを誘導するブロック状の乱流生成部と、前記乱流生成部を通過したガス燃料と空気の予混合気を燃焼室に流動させる円筒状の内側ノズル部と、を含み、前記乱流生成部は、前記内側ノズル部の長手方向に沿って長く形成され、さか火現象により火炎が付着しても、剛性を維持して、持続的な燃焼を行うことにより、燃焼効率を増加させることを特徴とする。【選択図】 図１,"i, gi man; Kang, Young Se; Ann, Ji Hwang",INDUSTRY-ACADEMIC  COOPERATION  FOUNDATION  OF  SUNCHON  NATIONAL  UNIVERSITY,2020-10-28
JP2017501131A,JP,2017-01-12,イオン交換樹脂触媒による混合ブテンの二量化／オリゴマー化のためのプロセス,イオン交換樹脂系の触媒を使用した混合ブテン供給材料の効果的な二量化およびオリゴマー化のためのプロセスが提供される。二量化およびオリゴマー化プロセスは、より高いエネルギー含量、より高いオクタン価、より高いオクタン感度およびより低いRVPのための優れた燃料混合成分として使用できる高度に分岐したC8およびC8+オレフィン（例えば、C12、C16およびC20オレフィン）を生成する。,"Sun; Shu, Way",Saudi Arabian Oil Company,2014-11-21
JP7270111B2,JP,2023-05-09,燃焼器の運転効率と排出性能を最大化できる燃焼装置,"The present invention relates to a combustion device capable of maximizing a combustor's operation efficiency and exhaust performance and, more specifically, to a combustion device comprising: a gas nozzle unit that allows gas fuel to be supplied; a gas fuel distribution unit that is in communication with the gas nozzle unit to form a space and distributes gas fuel; a first mixing chamber that is in communication with the gas fuel distribution unit through a first through-hole to form a space in which gas fuel is premixed with air; a second mixing chamber that is in communication with the gas fuel distribution unit through a second through-hole to form a space in which gas fuel is premixed with air; a turbulence producing nozzle unit provided between the first mixing chamber and the second mixing chamber to produce a turbulent flow of a pre-mixture of gas fuel and air that are premixed in the first mixing chamber; and a swirl nozzle unit that is in communication with an air nozzle unit to allow air for combustion to be supplied into each of the first mixing chamber and the second mixing chamber. The swirl nozzle unit comprises: a first flow path that is in communication with the first mixing chamber to allow gas fuel ejected through the first through-hole to come into perpendicular contact and be mixed with swirling air; and a second flow path that is in communication with the second mixing chamber to allow gas fuel ejected through the second through-hole to come into perpendicular contact and be mixed with air having a lower swirl number than that in the first flow path. The turbulence producing nozzle unit comprises: a block-type turbulence producing unit including a plurality of grid holes having a fractal shape to induce a turbulent flow of the pre-mixture of gas fuel and air that are premixed in the first mixing chamber, and a cylindrical internal nozzle unit that allows the pre-mixture of gas fuel and air passing through the turbulence producing unit to flow into a combustion chamber, wherein the turbulence producing unit has an elongated form along the length direction of the internal nozzle unit and maintains rigidity, even when flames adhere thereto due to flash back, to enable continuous combustion, thus increasing combustion efficiency.","i, gi man; Kang, Young Se; Ann, Ji Hwang",INDUSTRY-ACADEMIC  COOPERATION  FOUNDATION  OF  SUNCHON  NATIONAL  UNIVERSITY,2020-10-28
JP7084458B2,JP,2022-06-14,ハイブリッド電動飛行機を使用する地域航空交通網を実施するためのシステム及び方法,"Systems, apparatuses, and methods for overcoming the disadvantages of current air transportation systems that might be used for regional travel by providing a more cost effective and convenient regional air transport system. In some embodiments, the inventive air transport system, operational methods, and associated aircraft include a highly efficient plug-in series hybrid-electric powertrain (specifically optimized for aircraft operating in regional ranges), a forward compatible, range-optimized aircraft design, enabling an earlier impact of electric-based air travel services as the overall transportation system and associated technologies are developed, and platforms for the semi-automated optimization and control of the powertrain, and for the semi-automated optimization of determining the flight path for a regional distance hybrid-electric aircraft flight. In one embodiment there is provided a powertrain (700) for an aircraft, comprising one or more energy storage units (710), a distribution bus (730) coupled to the at least one energy storage unit and optionally coupled to at least one range extending generator (720); and one or more electric propulsors (701) coupled to the distribution bus (730) to deliver thrust using electricity drawn from the distribution bus.","Knaps, Burton, Matthew; Kumar, Ashish, Andrew","Zunam Aero, Incorporated",2020-10-15
JP6444386B2,JP,2018-12-26,バイオマスからの燃料および生物肥料の製造,"An IBTL system having a low GHG footprint for converting biomass to liquid fuels in which a biomass feed is converted to liquids by direct liquefaction and the liquids are upgraded to produce premium fuels. Biomass residues from the direct liquefaction, and optionally additional biomass is pyrolyzed using microwave pyrolysis to produce structured biochar, hydrogen for the liquefaction and upgrading, and CO2 for conversion to algae, including blue green algae (cyanobacteria) in a photobioreactor (PBR). Produced algae and diazotrophic microorganisms are used to produce a biofertilizer that also contains structured biochar. The structured biochar acts as a nucleation agent for the algae in the PBR, as a absorption agent to absorb inorganics from the biomass feed to direct liquefaction or from the liquids produced thereby, and as a water retention agent in the biofertilizer. The ratio of cyanobacteria to diazotrophic microorganisms in the biofertilizer can be selected so as to achieve desired total chemically active carbon and nitrogen contents in the soil for a given crop.",Rocco A. Fearto; Yuhan Sun; Mark Allen; Quan Yu Jiao,ACCELERGY CORPORATION; SHANGHAI ADVANCED RESEARCH INSTITUTE OF THE CHINESE ACADEMY OF SCIENCE,2014-05-23
